gen,AVG,STD,MIN,MAX
340,0.086522967,0.004444913,0.075631333,0.093886567
341,0.090963,0.003597203,0.083069967,0.095975067
342,0.128855667,0.012948363,0.106942033,0.150989333
343,0.147654667,0.00996017,0.119245667,0.162053333
344,0.159994333,0.00691227,0.143071667,0.169758333
345,0.075403267,0.007997353,0.058047067,0.087071267
346,0.0837608,0.005850877,0.0651884,0.091613833
347,0.089585067,0.00376389,0.076356433,0.093789133
348,0.082696033,0.002431033,0.0765341,0.085759033
349,0.0859755,0.003451877,0.078187167,0.094899333
350,0.089562233,0.003469257,0.0812063,0.095811
351,0.157724667,0.01799961,0.120614,0.182815333
352,0.176166333,0.010785923,0.148233667,0.190129
353,0.18749,0.006147357,0.175381667,0.197474667
354,0.091806133,0.009846917,0.064348667,0.101476167
355,0.099764733,0.00387521,0.087897267,0.106818567
356,0.102715067,0.003116147,0.096125333,0.1085462
357,0.140813333,0.009236897,0.123683,0.154996
358,0.149915333,0.00669944,0.125335333,0.159147667
359,0.156675333,0.003784823,0.144072333,0.160481333
360,0.156859667,0.00888082,0.139151333,0.174096667
361,0.169921667,0.008104257,0.149782333,0.179561667
362,0.182204333,0.009676047,0.165726,0.202586667
363,0.089161533,0.00570062,0.076170567,0.099252033
364,0.095428867,0.005433607,0.0855109,0.102292667
365,0.101558,0.004708103,0.089649333,0.110105333
366,0.133244667,0.004974147,0.120193,0.143049
367,0.141065333,0.006175993,0.125215,0.148324667
368,0.146848,0.003615797,0.133855333,0.149710667
369,0.09136,0.002400623,0.081266733,0.094282367
370,0.093244967,0.00186453,0.090795133,0.098532667
371,0.096384333,0.003350423,0.0860915,0.101535067
372,0.167291333,0.00585663,0.141336667,0.170815667
373,0.170606333,0.000956649,0.16768,0.171953333
374,0.17106,0.00226294,0.159573667,0.171953333
375,0.119956,0.001795297,0.118788,0.124401667
376,0.122226,0.002509237,0.119015667,0.125923
377,0.124574,0.003352443,0.109680367,0.126557667
378,0.149898,0.010984917,0.133334667,0.174422
379,0.168800667,0.009500807,0.144832,0.185229333
380,0.180205667,0.007321043,0.165234333,0.196513667
381,0.095439267,0.010425833,0.068035333,0.104690267
382,0.102935767,0.00317385,0.0919889,0.108267067
383,0.1068922,0.00262388,0.097845033,0.111770733
384,0.169027667,0.006477747,0.153111,0.177687
385,0.176558333,0.007610517,0.155554667,0.195197667
386,0.185741333,0.008830557,0.17155,0.198829333
387,0.171095,0.006691663,0.152194333,0.17891
388,0.177853333,0.00396461,0.170790667,0.186120333
389,0.182910333,0.004627797,0.174858667,0.193824667
390,0.059059,0.004901413,0.0503604,0.067380133
391,0.064991533,0.003640063,0.056223933,0.069371067
392,0.070927567,0.00525434,0.0627791,0.084792133
393,0.109361,0.007043303,0.091432767,0.116662667
394,0.114795333,0.004151423,0.1004841,0.119668
395,0.118547333,0.00348524,0.109127,0.127028333
396,0.162704,0.00988743,0.143599667,0.178111333
397,0.173604667,0.005769963,0.162085,0.183858333
398,0.183315,0.006693987,0.173089667,0.200075333
399,0.1087091,0.006603467,0.093473367,0.114752467
400,0.115232833,0.002939077,0.111122833,0.122638467
401,0.1216326,0.005356293,0.113677467,0.134417333
402,0.132385333,0.00729563,0.112070767,0.146122333
403,0.139356333,0.007589867,0.111510667,0.150060667
404,0.146647,0.005055747,0.135481667,0.155043667
405,0.157479333,0.003821667,0.150754,0.164845667
406,0.162260667,0.00323067,0.153998333,0.167413667
407,0.166831,0.003929506,0.161797667,0.175039333
408,0.175381,0.004551097,0.166027667,0.188040333
409,0.18097,0.005315977,0.172855333,0.188727333
410,0.186469333,0.005100347,0.170042,0.192179667
411,0.121754667,0.00145896,0.114732333,0.123223667
412,0.122640667,0.000535443,0.121966667,0.123223667
413,0.123242,0.000318394,0.122187667,0.124020667
414,0.144856333,7.82E-05,0.144767667,0.144999
415,0.145113,0.000253137,0.144767667,0.145652
416,0.146254667,0.002123983,0.144999,0.153151667
417,0.1060869,0.002078867,0.1019793,0.108065
418,0.107840767,0.001191533,0.1039401,0.111451333
419,0.109037,0.001510073,0.108065,0.111451333
420,0.170189,0.00085054,0.16794,0.170637667
421,0.170306667,0.002317133,0.154086667,0.170637667
422,0.170637667,9.25E-18,0.170637667,0.170637667
423,0.106677933,0.00053941,0.1065678,0.109320333
424,0.107191667,0.001638643,0.1031608,0.109320333
425,0.109093333,0.002059041,0.1065678,0.112760667
426,0.138101667,0.008734857,0.125340333,0.155643333
427,0.151060333,0.007396803,0.134023333,0.164480667
428,0.160719,0.00587327,0.146646333,0.170489333
429,0.145748667,0.012064541,0.123124067,0.158665667
430,0.157550333,0.005329643,0.134648667,0.163438333
431,0.162460667,0.004518007,0.154477,0.172373667
432,0.162590333,0.006753587,0.144986667,0.178636667
